schema_version	harness_commit	epoch	judged_at_utc	commit	scope	board	workload_class	outcome	judged_r	ci_low	ci_high	prove_ms	native_mhz	peak_rss_mib	waits	dispatches	energy_j	gates	holdout	submission_id	predecessor	supersedes
2	962dbbae393f	1	2026-07-20T17:32:05Z	675305979ed2748dbaf3682f100742b0a38202c3	s3	core_cpu	wide	promoted	0.973575	0.963875	0.986153	17.321458	0.000000	0.000000				G1..G5:pass	none	2026-07-20-packed-direct-quotient-resident-merkle-pool	31a3132ef2e6		claimed
2	a48a97b2cc2e	1	2026-07-20T18:13:17Z	99ff32efcc3560908ad262e20120b07bd0cf9626	s3	core_cpu	small	promoted	0.870962	0.862475	0.877999	2.378542	0.000000	0.000000				G1..G5:pass	none	2026-07-20-deeper-merkle-pool-parallelism	b343b866a9f4		claimed
2	6dbd9a6d02b1	1	2026-07-20T18:54:55Z	28e0b1af117dba253ce588c64098e22289e70e50	s3	core_cpu	deep	promoted	0.863603	0.858696	0.870776	8.521125	0.000000	0.000000				G1..G5:pass	none	2026-07-20-four-way-fri-leaf-cascade	95f32a8f9f6e		claimed
2	1b0be568ace8	1	2026-07-20T19:31:55Z	a6cf82a9fcdb285c58f47bccad6a5d1f52fb4a80	s3	core_cpu	small	rejected	0.961205	0.944054	1.000586	1.582125	0.000000	0.000000				G1..G5:pass	none	2026-07-20-packed-sampled-value-evaluation	4dc26f00d743		claimed
2	1b0be568ace8	1	2026-07-20T19:31:56Z	a6cf82a9fcdb285c58f47bccad6a5d1f52fb4a80	s3	core_cpu	deep	promoted	0.942963	0.934532	0.949791	8.131000	0.000000	0.000000				G1..G5:pass	none	2026-07-20-packed-sampled-value-evaluation	4dc26f00d743		claimed
2	1b0be568ace8	1	2026-07-20T19:31:56Z	a6cf82a9fcdb285c58f47bccad6a5d1f52fb4a80	s3	core_cpu	wide	promoted	0.918108	0.909853	0.924581	11.524167	0.000000	0.000000				G1..G5:pass	none	2026-07-20-packed-sampled-value-evaluation	4dc26f00d743		claimed
2	24a1c5bf7b2b	1	2026-07-20T20:20:10Z	32ee7f2bbb10258c1bf8813073815bbc39e768c8	s3	core_cpu	small	promoted	0.969013	0.950699	0.982411	1.539584	0.000000	0.000000				G1..G5:pass	none	2026-07-20-linear-fri-coset-walk	b275053b9c42		claimed
2	24a1c5bf7b2b	1	2026-07-20T20:20:11Z	32ee7f2bbb10258c1bf8813073815bbc39e768c8	s3	core_cpu	deep	promoted	0.918897	0.909088	0.960975	7.456167	0.000000	0.000000				G1..G5:pass	none	2026-07-20-linear-fri-coset-walk	b275053b9c42		claimed
2	24a1c5bf7b2b	1	2026-07-20T20:20:11Z	32ee7f2bbb10258c1bf8813073815bbc39e768c8	s3	core_cpu	wide	promoted	0.940832	0.928361	0.953856	10.752041	0.000000	0.000000				G1..G5:pass	none	2026-07-20-linear-fri-coset-walk	b275053b9c42		claimed
2	bcd67c353ea4	1	2026-07-20T21:20:14Z	294e6f89428826e8e432d88e2be8bbb4792f4dfb	s3	core_cpu	deep	rejected	0.909664	0.875900	0.934007	8.738417	0.000000	0.000000				G1..G5:pass	none	2026-07-20-parallel-cpu-fft-constant-composition	5d2eb59b2f9d		claimed
